800,"Neoplasias, NOS"
9192/3,Osteosarcoma parosteal
9192/3,Osteosarcoma yuxtacortical
9193/3,Osteosarcoma perióstico
9194/3,Osteosarcoma de superficie de alto grado
9195/3,Osteosarcoma intracortical
9200/0,"Osteoblastoma, NOS"
9200/0,Osteoma osteoide gigante
9200/1,Osteoblastoma agresivo
9210/0,Osteocondroma
9210/0,Exostosis cartilaginosa
9210/0,Econdroma
9210/0,Exostosis osteocartilaginosa
9210/1,"Osteocondromatosis, NOS"
9210/1,Econdrosis
9211/0,Osteocondromixoma
9212/0,Proliferación osteocondromatosa parosteal extraña
9213/0,Exostosis subungueal
9220/0,"Condroma, NOS"
9220/0,Encondroma
9220/1,"Condromatosis, NOS"
9220/3,"Condrosarcoma, NOS"
9220/3,Fibrocondrosarcoma
9220/3,"Condrosarcoma, grado 2"
9220/3,"Condrosarcoma, Grado 3"
9221/0,Condroma perióstico
9221/0,Condroma yuxtacortical
9221/3,Condrosarcoma perióstico
9221/3,Condrosarcoma yuxtacortical
9222/1,Tumor cartilaginoso atípico
9222/1,"Condrosarcoma, grado 1"
9230/1,"Condroblastoma, NOS"
9230/1,Tumor condromatoso de células gigantes
9230/1,Tumor de Codman
9230/3,Condroblastoma maligno
9231/3,Condrosarcoma mixoide
9240/3,Condrosarcoma mesenquimal
9241/0,Fibroma condromixoide
9242/3,Condrosarcoma de células claras
9243/3,Condrosarcoma desdiferenciado
925,Tumores de células gigantes
9250/1,"Tumor óseo de células gigantes, NOS"
9250/1,"Osteoclastoma, NOS"
9250/3,"Tumor óseo de células gigantes, maligno"
9250/3,Sarcoma óseo de células gigantes
9250/3,Osteoclastoma maligno
9251/1,"Tumor de células gigantes de partes blandas, NOS"
9251/3,Tumor maligno de células gigantes de partes blandas
9252/0,"Tumor tenosinovial de células gigantes, NOS"
9252/0,"Tumor tenosinovial de células gigantes, localizado"
9252/0,Histiocitoma fibroso de la vaina tendinosa
9252/0,"Tumor de células gigantes de la vaina tendinosa, NOS"
9252/1,"Tumor tenosinovial de células gigantes, difuso"
9252/1,Sinovitis villonodular pigmentada
9252/3,Tumor tenosinovial de células gigantes maligno
9252/3,"Tumor de células gigantes de la vaina tendinosa, maligno"
926,Tumores óseos diversos
9260/0,Quiste óseo aneurismático
9261/3,Adamantinoma de huesos largos
9262/0,Fibroma osificante
9262/0,Fibroosteoma
9262/0,Osteofibroma
927-934,Tumores odontogénicos
9270/0,"Tumor odontogénico, benigno"
9270/1,"Tumor odontogénico, NOS"
9270/3,"Tumor odontogénico, maligno"
9270/3,Carcinoma ameloblástico
9270/3,Carcinoma odontogénico
9270/3,Sarcoma odontogénico
9270/3,Carcinoma intraóseo primario
9271/0,Carcinoma ameloblástico fibrodentinoma
9271/0,Dentinoma
9272/0,"Cementoma, NOS"
9272/0,Displasia cemental periapical
9272/0,Displasia cemento-ósea periapical
9273/0,"Cementoblastoma, benigno"
9274/0,Fibroma cemento-osificante
9274/0,Fibroma cementante
9275/0,Cementoma gigantiforme
9275/0,Displasia ósea florida
9280/0,"Odontoma, NOS"
9281/0,Odontoma compuesto
9282/0,Odontoma complejo
9290/0,Fibroodontoma ameloblástico
9290/0,Odontoma fibroameloblástico
9290/3,Odontosarcoma ameloblástico
9290/3,Fibroodontosarcoma ameloblástico
9290/3,Fibrodentinosarcoma ameloblástico
9300/0,Tumor odontogénico adenomatoide
9300/0,Adenoameloblastoma
9301/0,Quiste odontogénico calcificante
9302/0,Tumor de células fantasma dentinogénico
9302/0,Tumor de células fantasma odontogénico
9302/3,Carcinoma odontogénico de células fantasma
9310/0,"Ameloblastoma, NOS"
9310/0,"Adamantinoma, NOS"
9310/3,"Ameloblastoma, metastásico"
9310/3,"Ameloblastoma, maligno"
9310/3,"Adamantinoma, maligno"
9311/0,Odontoameloblastoma
9312/0,Tumor odontogénico escamoso
9320/0,Mixoma odontogénico
9320/0,Mixofibroma odontogénico
9321/0,"Fibroma odontogénico, NOS"
9321/0,Fibroma odontogénico central
9322/0,Fibroma odontogénico periférico
9330/0,Fibroma ameloblástico
9330/3,Fibrosarcoma ameloblástico
9330/3,Sarcoma ameloblástico
9330/3,Fibrosarcoma odontogénico
9340/0,Tumor odontogénico epitelial calcificante
9340/0,Tumor de Pindborg
9341/3,Carcinoma odontogénico de células claras
9341/3,Tumor odontogénico de células claras
9342/3,Carcinosarcoma odontogénico
935-937,Tumores varios
9350/1,"Craneofaringioma, NOS"
9350/1,Tumor de la bolsa de Rathke
9351/1,"Craneofaringioma, adamantinomatoso"
9352/1,"Craneofaringioma, papilar"
9360/1,Pinealoma
9361/1,Pineocitoma
9362/3,Pineoblastoma
9362/3,Tumor pineal mixto
9362/3,Pineocitoma-pineoblastoma mixto
9362/3,Tumor del parénquima pineal de diferenciación intermedia
9362/3,Tumor pineal transicional
9363/0,Tumor neuroectodérmico melanótico
9363/0,Melanoameloblastoma
9363/0,Progonoma melanótico
9363/0,Tumor del esbozo de la retina
9364/3,Sarcoma de Ewing
9364/3,Tumor de Ewing
9364/3,Tumor neuroectodérmico periférico
9364/3,"Tumor neuroectodérmico, NOS"
9364/3,Tumor neuroectodérmico primitivo periférico
9364/3,PPNET
9365/3,Tumor de Askin
9370/0,Benigno Tumor de células notocordales
9370/3,"Cordoma, NOS"
9371/3,Cordoma condroide
9372/3,Cordoma desdiferenciado
9373/0,Paracordoma
938-948,Gliomas
9380/3,Glioma maligno
9380/3,"Glioma, NOS"
9381/3,Gliomatosis cerebral
9382/3,"Oligoastrocitoma, NOS"
9382/3,Glioma mixto
9382/3,Oligoastrocitoma anaplásico
9383/1,Subependimoma
9383/1,"Astrocitoma subependimario, NOS"
9383/1,Glioma subependimario
9383/1,Subependimoma-ependimoma mixto
9384/1,Astrocitoma subependimario de células gigantes
9385/3,"Glioma difuso de la línea media, mutante H3 K27M"
9385/3,"Glioma pontino intrínseco difuso, mutante H3 K27M"
9390/0,"Papiloma del plexo coroideo, NOS"
9390/1,Papiloma del plexo coroideo atípico
9390/3,Carcinoma del plexo coroideo
9390/3,"Papiloma del plexo coroideo, anaplásico"
9390/3,"Papiloma del plexo coroideo, maligno"
9391/1,Ependimoma silar
9391/3,"Ependimoma, NOS"
9391/3,Ependimoma epitelial
9391/3,Ependimoma celular
9391/3,Ependimoma de células claras
9391/3,Ependimoma tanicítico
9392/3,"Ependimoma, anaplásico"
9392/3,Ependimoblastoma
9393/3,Ependimoma papilar
9394/1,Ependimoma mixopapilar
9395/3,Tumor papilar de la región pineal
9396/3,"Ependimoma, fusión RELA positiva"
9400/3,"Astrocitoma, NOS"
9400/3,Glioma astrocítico
9400/3,Astroglioma
9400/3,"Astrocitoma, bajo grado"
9400/3,Astrocitoma quístico
9400/3,"Astrocitoma difuso, NOS"
9400/3,"Astrocitoma difuso, bajo grado"
9400/3,"Astrocitoma difuso, IDH mutante"
9400/3,"Astrocitoma difuso, IDH de tipo salvaje"
9401/3,"Astrocitoma anaplásico, NOS"
9401/3,"Astrocitoma anaplásico, IDH mutante"
9401/3,"Astrocitoma anaplásico, IDH de tipo salvaje"
9410/3,Astrocitoma protoplásmico
9411/3,"Astrocitoma gemistocítico, NOS"
9411/3,"Astrocitoma gemistocítico, IDH mutante"
9411/3,Gemistocitoma
9412/1,Astrocitoma infantil desmoplásico
9412/1,Ganglioglioma infantil desmoplásico
9413/0,Tumor neuroepitelial disembrioplásico
9420/3,Astrocitoma fibrilar
9420/3,Astrocitoma fibroso
9421/1,Astrocitoma pilocítico
9421/1,"Espongioblastoma, NOS"
9421/1,Astrocitoma juvenil
9421/1,Astrocitoma piloide
9423/3,Espongioblastoma polar
9423/3,Espongioblastoma polar primitivo
9423/3,Espongioblastoma polar
9424/3,"Xantoastrocitoma pleomórfico, NOS"
9424/3,Xantoastrocitoma pleomórfico anaplásico
9425/3,Astrocitoma pilomixoide
9430/3,Astroblastoma
9431/1,Glioblastoma angiocéntrico
9432/1,Pitucitoma
9440/3,"Glioblastoma, NOS"
9440/3,Glioblastoma epitelioide
9440/3,"Glioblastoma, IDH-wildtype"
9440/3,"Glioblastoma, primario, NOS"
9440/3,Glioblastoma multiforme
9440/3,Espongioblastoma multiforme
9440/3,"Glioma difuso de la línea media, NOS"
9440/3,Glioma pontino intrínseco difuso
9441/3,Glioblastoma de células gigantes
9441/3,Sarcoma monstruosocelular
9442/1,Gliofibroma
9442/3,Gliosarcoma
9442/3,Glioblastoma con componente sarcomatoso
9444/1,Glioma cordoide
9444/1,Glioma cordoide del tercer ventrículo
9445/3,"Glioblastoma, IDH-mutante"
9445/3,"Glioblastoma, secundario, IDH-mutante"
9445/3,"Glioblastoma, secundario, NOS"
9450/3,"Oligodendroglioma, NOS"
9450/3,"Oligodendroglioma, IDH-mutante y 1p/19q-codelecionado"
9451/3,"Oligodendroglioma, anaplásico, NOS"
9451/3,"Oligodendroglioma, anaplásico, IDH-mutante y 1p/19q-codelecionado"
9460/3,Oligodendroblastoma
9470/3,"Meduloblastoma, NOS"
9470/3,Meduloblastoma clásico
9470/3,Meduloblastoma melanótico
9471/3,Meduloblastoma nodular desmoplásico
9471/3,Sarcoma cerebeloso aracnoideo circunscrito
9471/3,"Meduloblastoma desmoplásico, NOS"
9471/3,Meduloblastoma con nodularidad extensa
9471/3,"Meduloblastoma, SHH-activado y TP53-de tipo salvaje"
9471/3,"Meduloblastoma, SHH activado, NOS"
9472/3,Medulomioblastoma
9473/3,"Tumor embrionario del SNC, NOS"
9473/3,"Tumor neuroectodérmico primitivo, NOS"
9473/3,"PNET, NOS"
9473/3,Primitivo central Tumor neuroectodérmico
9473/3,CPNET
9473/3,PNET supratentorial
9474/3,Meduloblastoma de células grandes
9474/3,Meduloblastoma anaplásico
9475/3,"Meduloblastoma, activado por WNT, NOS"
9475/3,"Meduloblastoma, activado por WNT, clásico"
9475/3,"Meduloblastoma, activado por WNT, tipo de células grandes"
9475/3,"Meduloblastoma, tipo anaplásico activado por WNT"
9476/3,"Meduloblastoma, tipo SHH activado y mutante en TP53"
9477/3,"Meduloblastoma, no WNT/no SHH"
9477/3,"Meduloblastoma, grupo 3"
9477/3,"Meduloblastoma, grupo 4"
9478/3,Tumor embrionario con rosetas multicapa con alteración C19MC
9478/3,"Tumor embrionario con rosetas multicapa, NOS"
9480/3,"Sarcoma cerebeloso, NOS"
949-952,Neoplasias neuroepiteliomatosas
9490/0,Ganglioneuroma
9490/3,Ganglioneuroblastoma
9490/3,Ganglioneuroblastoma del SNC
9491/0,Ganglioneuromatosis
9492/0,"Gangliocitoma, NOS"
9493/0,Gangliocitoma displásico del cerebelo (Lhermitte-Duclos)
9500/3,"Neuroblastoma, NOS"
9500/3,Neuroblastoma central
9500/3,Neuroblastoma del SNC
9500/3,Simpaticoblastoma
9501/0,"Meduloepitelioma, benigno"
9501/0,"Dictioma, benigno"
9501/3,"Meduloepitelioma, NOS"
9501/3,"Dictioma, maligno"
9502/0,"Meduloepitelioma teratoide, benigno"
9502/3,"Meduloepitelioma teratoide, NOS"
9503/3,"Neuroepitelioma, NOS"
9504/3,Espongioneuroblastoma
9505/1,"Ganglioglioma, NOS"
9505/1,Glioneuroma
9505/1,Neuroastrocitoma
9505/3,"Ganglioglioma, anaplásico"
9506/1,Neurocitoma central
9506/1,"Neurocitoma, NOS"
9506/1,Liponeurocitoma cerebeloso
9506/1,Meduloblastoma lipomatoso
9506/1,Medulocitoma
9506/1,Neurolipocitoma
9506/1,Neurocitoma extraventricular
9507/0,Tumor de Pacini
9508/3,Tumor teratoide/rabdoide atípico
9508/3,Tumor embrionario del SNC con características rabdoides
9509/1,Tumor glioneuronal papilar
9509/1,Tumor glioneuronal formador de rosetas
9510/0,Retinocitoma
9510/3,"Retinoblastoma, NOS"
9511/3,"Retinoblastoma, diferenciado"
9512/3,"Retinoblastoma, indiferenciado"
9513/3,"Retinoblastoma, difuso"
9514/1,"Retinoblastoma, regresión espontánea"
9520/3,Tumor neurogénico olfatorio
9521/3,Neurocitoma olfatorio
9521/3,Estesioneurocitoma
9522/3,Neuroblastoma olfatorio
9522/3,Estesioneuroblastoma
9523/3,Neuroepitelioma olfatorio
9523/3,Estesioneuroepitelioma
953,Meningiomas
9530/0,"Meningioma, NOS"
9530/0,Meningioma rico en linfoplasmocitos
9530/0,Meningioma metaplásico
9530/0,Meningioma microquístico
9530/0,Meningioma secretor
9530/3,Meningioma maligno
9530/3,Sarcoma leptomeníngeo
9530/3,Sarcoma meníngeo
9530/3,Meningioma anaplásico
9530/3,Sarcoma meningotelial
9531/0,Meningioma meningotelial
9531/0,Meningioma endoteliomatoso
9531/0,Meningioma sincitial
9532/0,Meningioma fibroso
9532/0,Meningioma fibroblástico
9533/0,Meningioma psamomatoso
9534/0,Meningioma angiomatoso
9535/0,Meningioma hemangioblástico
9535/0,Meningioma angioblástico
9537/0,Meningioma transicional
9537/0,Meningioma mixto
9538/1,Meningioma de células claras
9538/1,Meningioma cordoide
9538/3,Meningioma papilar
9538/3,Meningioma rabdoide
9539/1,Meningioma atípico
9539/3,Meningioma meníngeo Sarcomatosis
954-957,Tumores de la vaina nerviosa
9540/0,"Neurofibroma, NOS"
9540/3,"Tumor maligno de la vaina nerviosa periférica, NOS"
9540/3,"MPNST, NOS"
9540/3,Neurofibrosarcoma
9540/3,Sarcoma neurogénico
9540/3,Neurosarcoma
9540/3,MPNST melanótico
9540/3,MPNST psamomatoso melanótico
9540/3,MPNST con diferenciación glandular
9540/3,MPNST con diferenciación mesenquimal
9540/3,MPNST con diferenciación perineural
9541/0,Neurofibroma melanótico
9542/3,"Tumor maligno de la vaina del nervio periférico, epitelioide"
9542/3,MPNST epitelioide
9550/0,Neurofibroma plexiforme
9550/0,Neuroma plexiforme
9560/0,"Schwannoma, NOS"
9560/0,"Neurilemoma, NOS"
9560/0,Neurinoma
9560/0,Neurinoma acústico
9560/0,Schwannoma antiguo
9560/0,Schwannoma celular
9560/0,Schwannoma degenerado
9560/0,Schwannoma plexiforme
9560/0,Schwannoma psamomatoso
9560/1,Schwannoma melanótico
9560/1,Schwannoma pigmentado
9560/3,"Neurilemoma, maligno"
9560/3,"Schwannoma maligno, NOS"
9560/3,Neurilemosarcoma
9561/3,Tumor maligno de la vaina del nervio periférico con rabdomioblastos diferenciación
9561/3,Schwannoma maligno con diferenciación rabdomioblástica
9561/3,MPNST con diferenciación rabdomioblástica
9561/3,"Tumor Triton, maligno"
9562/0,Mixoma de la vaina nerviosa
9562/0,Neurotequeoma
9562/0,Neurotequeoma celular
9563/0,"Tumor de la vaina nerviosa, NOS"
9563/0,Tumor híbrido de la vaina nerviosa
9570/0,"Neuroma, NOS"
9570/0,Neuroma circunscrito solitario
9571/0,"Perineurioma, NOS"
9571/0,Perineurioma intraneural
9571/0,Perineurioma de tejidos blandos
9571/3,"Perineurioma, maligno"
958,Tumores de células granulares y sarcomas de partes blandas alveolares
9580/0,"Tumor de células granulares, NOS"
9580/0,"Mioblastoma de células granulares, NOS"
9580/3,"Tumor de células granulares, maligno"
9580/3,"Mioblastoma de células granulares, maligno"
9581/3,Sarcoma de partes blandas alveolares
9582/0,Tumor de células granulares de la región silar
959-972,Linfomas de Hodgkin y no Hodgkin
959,"Linfomas malignos, NOS o difusos"
9590/3,"Linfoma maligno, NOS"
9590/3,"Linfoma, NOS"
9590/3,Microglioma
9591/1,"Linfocitosis monoclonal de células B, NOS"
9591/1,"Linfocitosis monoclonal de células B, tipo no LLC"
9591/3,"Linfoma maligno, no Hodgkin, NOS"
9591/3,"Linfoma no Hodgkin, NOS"
9591/3,"Linfoma de células B, NOS"
9591/3,"Linfosarcoma, NOS"
9591/3,"Linfosarcoma, difuso"
9591/3,"Linfoma maligno, difuso, NOS"
9591/3,"Linfoma maligno, de células no hendidas, NOS"
9591/3,"Sarcoma de células reticulares, NOS"
9591/3,"Reticulosarcoma, NOS"
9591/3,"Sarcoma de células reticulares, difuso"
9591/3,"Reticulosarcoma, difuso"
9591/3,Variante de leucemia de células pilosas
9591/3,"Linfoma maligno, linfocítico, de diferenciación intermedia, nodular"
9591/3,"Linfoma maligno, linfocítico, poco diferenciado, difuso"
9591/3,"Linfoma maligno, de células hendidas, NOS"
9591/3,"Linfoma maligno, de células pequeñas hendidas, NOS"
9591/3,"Linfoma maligno, de células pequeñas, no hendidas, difuso"
9591/3,"Linfoma maligno, de tipo celular indiferenciado, NOS"
9591/3,"Linfoma maligno, de células indiferenciadas, no Burkitt"
9591/3,"Linfoma maligno, de células pequeñas hendidas, difuso"
9591/3,"Linfoma/leucemia de células B esplénicas, inclasificable"
9591/3,Linfoma de células B pequeñas de pulpa roja difuso esplénico
9596/3,Linfoma compuesto de Hodgkin y no Hodgkin
9596/3,"Linfoma de células B, inclasificable, con características intermedias entre el linfoma difuso de células B grandes y el linfoma de Hodgkin clásico"
9597/3,Linfoma primario cutáneo del centro del folículo
965-966,Linfomas de Hodgkin
9650/3,"Linfoma de Hodgkin, NOS"
9650/3,"Enfermedad de Hodgkin, NOS"
9650/3,"Linfoma maligno, Hodgkin"
9650/3,"Linfoma de Hodgkin clásico, enfermedad linfoproliferativa postrasplante"
9651/3,"Linfoma de Hodgkin, rico en linfocitos"
9651/3,"Linfoma de Hodgkin clásico, rico en linfocitos"
9651/3,"Enfermedad de Hodgkin, predominio linfocítico, NOS"
9651/3,"Enfermedad de Hodgkin, predominio linfocítico, difuso"
9651/3,"Enfermedad de Hodgkin, predominio linfocítico-histiocítico"
9652/3,"Linfoma de Hodgkin, celularidad mixta, NOS"
9652/3,"Linfoma de Hodgkin clásico, celularidad mixta, NOS"
9653/3,"Linfoma de Hodgkin, depleción linfocítica, NOS"
9653/3,"Linfoma de Hodgkin clásico, depleción linfocítica, NOS"
9654/3,"Linfoma de Hodgkin, depleción linfocítica, fibrosis difusa"
9654/3,"Linfoma de Hodgkin clásico, depleción linfocítica, fibrosis difusa"
9655/3,"Linfoma de Hodgkin, depleción linfocítica, reticular"
9655/3,"Linfoma de Hodgkin clásico, depleción linfocítica, reticular"
9659/3,"Linfoma de Hodgkin, linfocito nodular predominante"
9659/3,"Paragranuloma de Hodgkin, NOS"
9659/3,"Paragranuloma de Hodgkin, nodular"
9661/3,Granuloma de Hodgkin
9662/3,Sarcoma de Hodgkin
9663/3,"Linfoma de Hodgkin, esclerosis nodular, NOS"
9663/3,"Linfoma de Hodgkin clásico, esclerosis nodular, NOS"
9663/3,"Enfermedad de Hodgkin, esclerosis nodular, NOS"
9664/3,"Linfoma de Hodgkin, esclerosis nodular, fase celular"
9664/3,"Linfoma de Hodgkin clásico, esclerosis nodular, fase celular"
9665/3,"Linfoma de Hodgkin, esclerosis nodular, grado 1"
9665/3,"Linfoma de Hodgkin clásico, esclerosis nodular, grado 1"
9665/3,"Enfermedad de Hodgkin, esclerosis nodular, predominio linfocítico"
9665/3,"Enfermedad de Hodgkin, esclerosis nodular, celularidad mixta"
9667/3,"Linfoma de Hodgkin, esclerosis nodular, grado 2"
9667/3,"Linfoma de Hodgkin clásico, esclerosis nodular, grado 2"
9667/3,"Enfermedad de Hodgkin, esclerosis nodular, depleción de linfocitos"
9667/3,"Enfermedad de Hodgkin, esclerosis nodular, variante sincitial"
967-972,Linfomas no Hodgkin
967-969,Linfomas de células B maduras
9671/3,Linfoma linfoplasmocítico
9671/3,"Linfoma maligno, linfoplasmocitoide"
9671/3,Inmunocitoma
9671/3,"Linfoma maligno, plasmocitoide"
9671/3,Linfoma plasmocítico
9673/1,Neoplasia de células del manto in situ
9673/1,Linfoma de células del manto in situ
9673/3,Linfoma de células del manto
9673/3,"Linfoma maligno, centrocítico"
9673/3,"Linfoma maligno, linfocítico, diferenciación intermedia, difuso"
9673/3,Poliposis linfomatosa maligna
9673/3,Linfoma de la zona del manto
9675/3,"Linfoma maligno, de células pequeñas y grandes, difuso"
9675/3,"Linfoma maligno, centroblástico-centrocítico, NOS"
9675/3,"Linfoma maligno, centroblástico-centrocítico, difuso"
9675/3,"Linfoma maligno, de tipo mixto, difuso"
9675/3,"Linfoma maligno, linfocítico-histiocítico mixto, difuso"
9678/3,Linfoma de derrame primario
9679/3,Linfoma mediastínico de células B grandes
9679/3,Linfoma tímico de células B grandes
9680/1,Úlcera mucocutánea positiva para VEB
9680/3,"Linfoma difuso de células B grandes, NOS"
9680/3,"Linfoma maligno, de células B grandes, difuso, NOS"
9680/3,"Linfoma maligno, histiocítico, NOS"
9680/3,"Linfoma maligno, de células B grandes, NOS"
9680/3,"Linfoma maligno, de células B grandes, difuso, centroblástico, NOS"
9680/3,"Linfoma maligno, de células grandes, NOS"
9680/3,"Linfoma maligno, de células grandes, hendido, NOS"
9680/3,"Linfoma maligno, de células grandes, difuso, NOS"
9680/3,"Linfoma maligno de células grandes no hendido, NOS"
9680/3,"Linfoma maligno no hendido, NOS"
9680/3,"Linfoma maligno no hendido, difuso, NOS"
9680/3,"Linfoma maligno histiocítico, difuso"
9680/3,"Linfoma maligno de células grandes, hendido y no hendido"
9680/3,"Linfoma maligno de células grandes, hendido, difuso"
9680/3,"Linfoma maligno de células grandes, no hendido, difuso"
9680/3,"Linfoma maligno centroblástico, NOS"
9680/3,"Linfoma difuso de células B grandes, subtipo de células B de centro germinal"
9680/3,"Linfoma difuso de células B grandes, subtipo de células B activadas"
9680/3,"Linfoma maligno centroblástico, difuso"
9680/3,Linfoma anaplásico de células B grandes
9680/3,"Linfoma de células B, inclasificable, con características intermedias entre el linfoma difuso de células B grandes y el linfoma de Burkitt"
9680/3,Linfoma difuso de células B grandes asociado con inflamación crónica
9680/3,Linfoma difuso de células B grandes positivo para VEB
9680/3,"Linfoma cutáneo primario difuso de células B grandes Linfoma de células B, tipo pierna"
9680/3,Linfoma primario difuso de células B grandes del SNC
9680/3,"Linfoma de células B de alto grado, NOS"
9680/3,Linfoma de células B de alto grado con reordenamientos de MYC y BCL2 y/o BCL6
9680/3,Linfoma vítreorretiniano
9684/3,"Linfoma maligno, de células B grandes, difuso, inmunoblástico, NOS"
9684/3,"Linfoma maligno, inmunoblástico, NOS"
9684/3,Sarcoma inmunoblástico
9684/3,"Linfoma maligno, de células grandes, inmunoblástico"
9687/3,"Linfoma de Burkitt, NOS"
9687/3,Tumor de Burkitt
9687/3,"Linfoma maligno, de células pequeñas no hendidas, tipo Burkitt"
9687/3,"Linfoma maligno, indiferenciado, tipo Burkitt"
9687/3,"Linfoma tipo Burkitt, NOS"
9687/3,Linfoma tipo Burkitt con aberración 11q
9687/3,Leucemia de células de Burkitt
9687/3,"Leucemia aguda, tipo Burkitt"
9687/3,"Leucemia linfoblástica aguda, tipo de células B maduras"
9687/3,B-ALL
9687/3,FAB L3
9688/3,Linfoma de células B grandes rico en histiocitos/células T
9688/3,Linfoma de células B grandes rico en células T
9688/3,Linfoma de células B grandes rico en histiocitos
9689/3,Linfoma de células B de la zona marginal esplénica
9689/3,"Linfoma de la zona marginal esplénica, NOS"
9689/3,Linfoma esplénico con linfocitos vellosos
9690/3,"Linfoma folicular, NOS"
9690/3,"Linfoma maligno, centro folicular, NOS"
9690/3,"Linfoma maligno, folicular, NOS"
9690/3,"Linfoma maligno, linfocítico, nodular, NOS"
9690/3,"Linfoma maligno, nodular, NOS"
9690/3,"Linfoma maligno, centroblástico-centrocítico, folicular"
9690/3,"Linfoma maligno, centro folicular, folicular"
9690/3,"Linfoma folicular, tipo pediátrico"
9691/3,"Linfoma folicular, grado 2"
9691/3,"Linfoma maligno, tipo de células mixtas, folicular"
9691/3,"Linfoma maligno, tipo de células mixtas, nodular"
9691/3,"Linfoma maligno, linfocítico-histiocítico mixto, nodular"
9691/3,"Linfoma maligno, mixto de células pequeñas hendidas y grandes, folicular"
9695/1,Neoplasia folicular in situ
9695/1,Linfoma folicular in situ
9695/3,"Linfoma folicular, grado 1"
9695/3,"Linfoma folicular, células pequeñas hendidas"
9695/3,"Linfoma maligno, linfocítico, poco diferenciado, nodular"
9695/3,"Linfoma maligno, células pequeñas hendidas, folicular"
9695/3,"Linfoma folicular, tipo duodenal"
9698/3,"Linfoma folicular, grado 3"
9698/3,"Linfoma maligno, células grandes, folicular, NOS"
9698/3,"Linfoma maligno, células no hendidas, folicular, NOS"
9698/3,"Linfoma folicular, grado 3A"
9698/3,"Linfoma folicular, grado 3B"
9698/3,"Linfoma maligno, centroblástico, Linfoma maligno histiocítico nodular"
9698/3,Linfoma maligno de células grandes no hendidas folicular
9698/3,Linfoma maligno de células grandes hendidas folicular
9698/3,Linfoma maligno linfocítico bien diferenciado nodular
9698/3,Linfoma de células B grandes con reordenamiento de IRF4
9698/3,"Linfoma de células B de la zona marginal, NOS"
9699/3,"Linfoma de la zona marginal, NOS"
9699/3,Linfoma BALT
9699/3,Linfoma de tejido linfoide asociado a bronquios
9699/3,Linfoma MALT
9699/3,Linfoma monocitoide de células B
9699/3,Linfoma de tejido linfoide asociado a mucosas
9699/3,Linfoma nodal de la zona marginal
9699/3,Linfoma SALT
9699/3,Linfoma de tejido linfoide asociado a piel
9699/3,Linfoma extranodal de la zona marginal de tejido linfoide asociado a mucosas
9699/3,Linfoma coroideo primario
9699/3,Linfomas de células T y NK maduras
970-971,Linfomas de células T y NK maduras
9700/3,Micosis fungoide
9700/3,Reticulosis pagetoide
9700/3,Piel flácida granulomatosa
9701/3,Síndrome de Sézary
9701/3,Enfermedad de Sézary
9702/1,Trastorno linfoproliferativo indolente de células T del tracto gastrointestinal
9702/3,"Linfoma de células T maduras, NOS"
9702/3,"Linfoma periférico de células T, NOS"
9702/3,"Linfoma de células T, NOS"
9702/3,"Linfoma periférico de células T, células grandes"
9702/3,"Linfoma periférico de células T, células medianas y grandes pleomórficas"
9702/3,"Linfoma periférico de células T, células pequeñas pleomórficas"
9702/3,Linfoma de la zona T
9702/3,Linfoma linfoepitelioide
9702/3,Linfoma de Lennert
9702/3,Linfoma folicular de células T
9702/3,Linfoma nodal periférico de células T con fenotipo de células T auxiliares foliculares
9705/3,Linfoma angioinmunoblástico de células T
9705/3,Linfoma angioinmunoblástico
9705/3,"Linfoma periférico de células T, AILD (Linfoma angioinmunoblástico Linfadenopatía con disproteinemia)"
9708/3,Linfoma subcutáneo de células T similar a paniculitis
9709/1,Trastorno linfoproliferativo cutáneo primario de células T pequeñas/medianas CD4 positivo
9709/1,Linfoma cutáneo primario de células T pequeñas/medianas CD4 positivo
9709/3,"Linfoma cutáneo de células T, NOS"
9709/3,"Linfoma cutáneo, NOS"
9709/3,Linfoma cutáneo primario de células T citotóxicas epidermotrópicas agresivas CD8 positivo
9709/3,Linfoma cutáneo primario de células T acral CD8 positivo
9712/3,Linfoma intravascular de células B grandes
9712/3,Linfoma intravascular de células B
9712/3,Angioendoteliomatosis
9712/3,Linfoma angiotrópico
9714/3,"Linfoma anaplásico de células grandes, tipo de células T y células nulas"
9714/3,Linfoma de células grandes (Ki-1 positivo)
9714/3,"Linfoma anaplásico de células grandes, NOS"
9714/3,"Linfoma anaplásico de células grandes, CD30 positivo"
9714/3,"Linfoma anaplásico de células grandes, ALK positivo"
9715/3,"Linfoma anaplásico de células grandes, ALK negativo"
9715/3,Linfoma anaplásico de células grandes asociado a implantes mamarios linfoma de células T
9716/3,Linfoma hepatoesplénico de células T
9716/3,Linfoma hepatoesplénico de células gamma-delta
9717/3,Linfoma intestinal de células T
9717/3,Linfoma de células T asociado a enteropatía
9717/3,Linfoma intestinal de células T tipo enteropatía
9717/3,Linfoma intestinal de células T epiteliotrópico monomórfico
9718/1,Trastorno linfoproliferativo cutáneo primario de células T CD30 positivo
9718/1,Papulosis linfomatoide
9718/3,Linfoma anaplásico cutáneo primario de células grandes
9718/3,Linfoma cutáneo primario de células T grandes CD30 positivo
9719/3,"Linfoma de células NK/T, nasal y tipo nasal"
9719/3,"Reticulación maligna, NOS"
9719/3,Linfoma angiocéntrico de células T
